City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Okha,RU,2021-08-05 01:24:05,53.5739,142.9478,55.62,84,100,15.28
1,Rikitea,PF,2021-08-05 01:23:10,-23.1203,-134.9692,72.86,71,10,17.02
2,Punta Arenas,CL,2021-08-05 01:20:16,-53.15,-70.9167,44.71,76,0,9.22
3,Thompson,CA,2021-08-05 01:23:21,55.7435,-97.8558,59.16,55,75,6.91
4,Jamestown,US,2021-08-05 01:20:20,42.097,-79.2353,71.24,61,40,1.01
5,Barrow,US,2021-08-05 01:23:40,71.2906,-156.7887,55.42,67,1,13.8
6,Mataura,NZ,2021-08-05 01:23:20,-46.1927,168.8643,48.47,72,100,5.57
7,Nikolskoye,RU,2021-08-05 01:23:16,59.7035,30.7861,53.8,76,41,3.09
8,Dudinka,RU,2021-08-05 01:24:23,69.4058,86.1778,70.88,57,63,3.76
9,Busselton,AU,2021-08-05 01:23:17,-33.65,115.3333,54.05,77,0,6.78
10,Avarua,CK,2021-08-05 01:23:08,-21.2078,-159.775,75.25,78,20,9.22
11,Arraial Do Cabo,BR,2021-08-05 01:23:46,-22.9661,-42.0278,66.94,75,19,7.29
12,Dikson,RU,2021-08-05 01:23:19,73.5069,80.5464,44.76,92,19,3.15
13,Venezuela,VE,2021-08-05 01:24:23,8.0,-66.0,75.33,85,51,9.51
14,Mayo,US,2021-08-05 01:24:24,38.8876,-76.5119,75.38,76,1,4.0
15,Saint-Philippe,RE,2021-08-05 01:24:24,-21.3585,55.7679,65.75,79,88,15.03
16,Mogadishu,SO,2021-08-05 01:24:24,2.0371,45.3438,75.96,83,78,18.1
17,Ushuaia,AR,2021-08-05 01:21:03,-54.8,-68.3,47.86,66,40,4.61
18,Hobart,AU,2021-08-05 01:23:10,-42.8794,147.3294,55.26,65,75,3.0
19,Kasongo-Lunda,CD,2021-08-05 01:24:25,-6.4667,16.8167,68.74,36,0,1.39
20,Cape Town,ZA,2021-08-05 01:20:45,-33.9258,18.4232,58.87,93,75,3.0
21,Martin,US,2021-08-05 01:24:25,27.0837,-80.4164,80.55,93,100,5.14
22,Vaini,TO,2021-08-05 01:23:30,-21.2,-175.2,73.56,78,20,8.05
23,Savannah Bight,HN,2021-08-05 01:24:26,16.45,-85.85,82.99,82,36,23.51
24,Selenginsk,RU,2021-08-05 01:24:26,52.0064,106.8647,63.01,63,5,2.89
25,Atuona,PF,2021-08-05 01:23:36,-9.8,-139.0333,77.76,65,2,9.75
26,Serebryansk,KZ,2021-08-05 01:24:26,49.6925,83.2892,62.15,59,38,3.33
27,Praia,CV,2021-08-05 01:24:27,14.9215,-23.5087,78.48,88,100,4.79
28,Gamboma,CG,2021-08-05 01:24:27,-1.8764,15.8644,73.17,48,5,4.29
29,Bluff,NZ,2021-08-05 01:23:18,-46.6,168.3333,48.79,66,100,6.04
30,Ceres,US,2021-08-05 01:24:27,37.5949,-120.9577,100.56,24,1,14.97
31,San Cristobal,VE,2021-08-05 01:24:28,7.7669,-72.225,75.38,97,98,4.07
32,Olga,RU,2021-08-05 01:24:28,43.7444,135.2892,84.81,59,100,3.53
33,Dali,CN,2021-08-05 01:24:28,25.7,100.1833,69.39,71,0,0.63
34,Port Moresby,PG,2021-08-05 01:24:28,-9.4431,147.1797,80.02,78,75,11.5
35,Puerto Ayora,EC,2021-08-05 01:23:11,-0.7393,-90.3518,71.55,84,46,5.99
36,Port Alfred,ZA,2021-08-05 01:23:58,-33.5906,26.891,63.32,88,92,9.17
37,Carroll,US,2021-08-05 01:24:11,39.5501,-77.0164,72.45,79,8,6.11
38,Deqing,CN,2021-08-05 01:24:29,30.5448,119.9599,84.16,79,68,9.15
39,Kodiak,US,2021-08-05 01:23:23,57.79,-152.4072,62.11,72,90,5.75
40,Togur,RU,2021-08-05 01:24:30,58.3631,82.8265,60.24,95,100,4.5
41,Ancud,CL,2021-08-05 01:24:30,-41.8697,-73.8203,51.42,89,100,7.87
42,Hilo,US,2021-08-05 01:22:04,19.7297,-155.09,80.33,69,75,8.05
43,Chokurdakh,RU,2021-08-05 01:23:29,70.6333,147.9167,47.93,57,100,16.67
44,Sao Jose Da Coroa Grande,BR,2021-08-05 01:24:30,-8.8978,-35.1478,72.25,90,70,10.2
45,Butaritari,KI,2021-08-05 01:24:09,3.0707,172.7902,82.67,65,6,7.67
46,College,US,2021-08-05 01:21:11,64.8569,-147.8028,82.58,40,40,6.91
47,Vilhena,BR,2021-08-05 01:24:31,-12.7406,-60.1458,68.63,48,5,1.92
48,Tautira,PF,2021-08-05 01:24:31,-17.7333,-149.15,82.42,75,13,15.35
49,Talca,CL,2021-08-05 01:24:32,-35.4333,-71.6667,46.11,92,11,5.35
50,Inirida,CO,2021-08-05 01:24:32,3.8653,-67.9239,70.03,99,100,1.72
51,Saint-Pierre,RE,2021-08-05 01:24:03,-21.3393,55.4781,65.84,59,0,11.5
52,Esperance,AU,2021-08-05 01:23:50,-33.8667,121.9,53.96,79,0,7.67
53,Asau,RO,2021-08-05 01:24:32,46.4333,26.4,65.32,93,48,4.85
54,East London,ZA,2021-08-05 01:20:15,-33.0153,27.9116,65.37,85,99,7.14
55,Tuktoyaktuk,CA,2021-08-05 01:23:44,69.4541,-133.0374,62.6,42,40,11.5
56,Kasamwa,TZ,2021-08-05 01:24:33,-2.85,32.4333,66.63,61,0,6.55
57,Saskylakh,RU,2021-08-05 01:23:15,71.9167,114.0833,61.68,35,26,13.18
58,Hermanus,ZA,2021-08-05 01:23:47,-34.4187,19.2345,52.9,94,24,6.82
59,Kruisfontein,ZA,2021-08-05 01:24:33,-34.0033,24.7314,57.88,96,97,6.67
60,Ginir,ET,2021-08-05 01:24:34,7.1333,40.7,58.46,71,35,12.41
61,Airai,TL,2021-08-05 01:23:27,-8.9266,125.4092,69.58,54,13,5.91
62,Kapaa,US,2021-08-05 01:23:36,22.0752,-159.319,84.52,74,40,7.0
63,Bredasdorp,ZA,2021-08-05 01:23:29,-34.5322,20.0403,56.52,88,18,2.3
64,Samarai,PG,2021-08-05 01:23:11,-10.6167,150.6667,78.57,78,94,15.93
65,Cidreira,BR,2021-08-05 01:24:34,-30.1811,-50.2056,59.09,95,100,10.6
66,Te Anau,NZ,2021-08-05 01:24:35,-45.4167,167.7167,45.82,71,100,1.25
67,Poya,NC,2021-08-05 01:24:35,-21.35,165.15,76.93,53,78,9.89
68,Buin,CL,2021-08-05 01:24:36,-33.7333,-70.75,62.74,70,0,2.39
69,Wasilla,US,2021-08-05 01:24:36,61.5814,-149.4394,70.84,66,90,0.0
70,Fagundes,BR,2021-08-05 01:24:36,-7.355,-35.775,68.4,83,75,4.61
71,New Norfolk,AU,2021-08-05 01:23:24,-42.7826,147.0587,54.9,46,100,5.23
72,Talnakh,RU,2021-08-05 01:24:37,69.4865,88.3972,74.12,49,6,3.42
73,Albany,US,2021-08-05 01:20:16,42.6001,-73.9662,68.86,77,100,3.13
74,Camacha,PT,2021-08-05 01:24:37,33.0833,-16.3333,70.56,83,75,18.41
75,Ca Mau,VN,2021-08-05 01:24:37,9.1769,105.15,81.93,83,100,10.89
76,Emba,KZ,2021-08-05 01:24:38,48.8264,58.1442,79.38,31,26,4.16
77,Sibolga,ID,2021-08-05 01:22:49,1.7427,98.7792,77.65,84,99,2.53
78,Klyuchi,RU,2021-08-05 01:24:38,52.2667,79.1667,64.18,66,13,8.01
79,Yulara,AU,2021-08-05 01:24:38,-25.2406,130.9889,57.04,38,0,14.97
80,Pemangkat,ID,2021-08-05 01:24:39,1.1667,108.9667,80.82,79,100,10.04
81,Mar Del Plata,AR,2021-08-05 01:20:48,-38.0023,-57.5575,52.09,27,0,8.01
82,Tasiilaq,GL,2021-08-05 01:23:38,65.6145,-37.6368,46.56,79,99,1.05
83,Victoria,HK,2021-08-05 01:22:28,22.2855,114.1577,84.16,90,100,5.99
84,Baghdad,IQ,2021-08-05 01:24:39,33.3406,44.4009,91.31,25,0,6.91
85,Minna,NG,2021-08-05 01:24:40,9.6139,6.5569,74.91,88,40,12.66
86,El Bagre,CO,2021-08-05 01:24:40,7.5927,-74.8086,76.08,89,100,0.11
87,Darhan,MN,2021-08-05 01:24:40,49.4867,105.9228,66.16,66,0,5.77
88,Mirador,BR,2021-08-05 01:24:41,-6.3708,-44.3631,74.57,42,100,4.72
89,Magistralnyy,RU,2021-08-05 01:24:41,56.1725,107.4458,57.69,90,100,4.16
90,Uyuni,BO,2021-08-05 01:24:42,-20.4597,-66.825,40.73,65,8,14.0
91,Berlevag,NO,2021-08-05 01:23:58,70.8578,29.0864,47.01,92,100,20.85
92,Tiksi,RU,2021-08-05 01:24:42,71.6872,128.8694,44.98,73,7,9.08
93,Sao Filipe,CV,2021-08-05 01:24:42,14.8961,-24.4956,77.22,89,100,2.46
94,Ketchikan,US,2021-08-05 01:24:43,55.3422,-131.6461,61.27,100,90,17.27
95,North Vanlaiphai,IN,2021-08-05 01:24:43,23.1333,93.0667,65.01,96,51,2.64
96,Bowen,AU,2021-08-05 01:24:43,-20.0167,148.2333,69.33,31,8,11.88
97,Kristinehamn,SE,2021-08-05 01:24:43,59.3098,14.1081,58.71,68,49,1.34
98,Waris Aliganj,IN,2021-08-05 01:24:44,25.0167,85.6333,80.49,83,100,2.59
99,Kirillov,RU,2021-08-05 01:24:44,59.863,38.3813,50.68,69,93,0.31
100,Eyl,SO,2021-08-05 01:23:46,7.9803,49.8164,77.83,72,9,23.47
101,Dabat,ET,2021-08-05 01:24:44,12.9842,37.765,52.7,97,100,3.49
102,Faanui,PF,2021-08-05 01:24:45,-16.4833,-151.75,79.77,71,66,14.56
103,Ostrovnoy,RU,2021-08-05 01:24:45,68.0531,39.5131,49.28,90,100,22.46
104,Kidal,ML,2021-08-05 01:24:45,18.4411,1.4078,94.87,31,60,6.24
105,Chenzhou,CN,2021-08-05 01:24:46,25.8,113.0333,79.02,95,100,2.62
