City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.92,75,29,18.16,scattered clouds
1,Tasiilaq,GL,65.6145,-37.6368,53.76,76,24,2.19,few clouds
2,Tateyama,JP,34.9833,139.8667,80.62,85,29,8.55,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,49.62,75,75,33.38,heavy intensity rain
4,Ossora,RU,59.2353,163.0719,48.38,92,100,11.61,moderate rain
5,Omboue,GA,-1.5746,9.2618,76.3,80,55,8.66,broken clouds
6,Tirat Karmel,IL,32.7617,34.9719,85.55,48,0,1.14,clear sky
7,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,77,75,8.05,broken clouds
8,Mutoko,ZW,-17.397,32.2268,52.2,49,0,3.0,clear sky
9,Hobart,AU,-42.8794,147.3294,55.26,59,40,5.01,scattered clouds
10,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,11.5,light rain
11,Talnakh,RU,69.4865,88.3972,65.43,69,82,3.02,broken clouds
12,Chokurdakh,RU,70.6333,147.9167,36.63,86,100,10.71,overcast clouds
13,Manakara,MG,-22.1333,48.0167,64.04,83,56,4.27,light rain
14,Grand Gaube,MU,-20.0064,57.6608,70.2,66,72,5.01,broken clouds
15,Lebu,CL,-37.6167,-73.65,55.4,73,100,13.24,overcast clouds
16,Butterworth,MY,5.3991,100.3638,82.0,90,20,0.0,few clouds
17,Volksrust,ZA,-27.3654,29.8818,49.28,36,0,2.55,clear sky
18,Badarpur,IN,24.9,92.6,77.32,97,99,2.68,overcast clouds
19,Muros,ES,42.7762,-9.0603,66.7,84,91,5.21,overcast clouds
20,Roald,NO,62.5833,6.1333,64.45,77,0,10.36,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,53.28,94,40,3.44,scattered clouds
22,Mataura,NZ,-46.1927,168.8643,37.47,98,19,2.55,few clouds
23,Kapaa,US,22.0752,-159.319,82.72,75,40,5.01,light rain
24,Hamilton,US,39.1834,-84.5333,86.59,49,40,1.99,scattered clouds
25,Cape Town,ZA,-33.9258,18.4232,58.1,87,0,1.99,clear sky
26,Faanui,PF,-16.4833,-151.75,79.03,70,24,10.29,few clouds
27,Jamestown,US,42.097,-79.2353,81.3,50,20,6.91,few clouds
28,Cap Malheureux,MU,-19.9842,57.6142,70.29,66,62,5.01,broken clouds
29,Meadow Lake,US,34.8014,-106.5436,90.37,26,0,6.85,clear sky
30,Souillac,MU,-20.5167,57.5167,70.18,68,40,11.5,scattered clouds
31,Guerrero Negro,MX,27.9769,-114.0611,82.27,54,20,10.45,few clouds
32,Brazzaville,CG,-4.2658,15.2832,73.76,78,3,4.61,clear sky
33,Busselton,AU,-33.65,115.3333,39.09,82,0,6.11,clear sky
34,Bluff,NZ,-46.6,168.3333,37.8,86,74,7.2,broken clouds
35,Hermanus,ZA,-34.4187,19.2345,56.89,89,1,10.09,clear sky
