City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Omboue,GA,76.3,broken clouds,-1.5746,9.2618,Hotel Olako
18,Badarpur,IN,77.32,overcast clouds,24.9,92.6,Rejauls home
26,Faanui,PF,79.03,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
37,Naze,JP,77.79,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
48,Mangan,IN,76.51,overcast clouds,27.5167,88.5333,Hotel Mout View
59,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
63,Tabuk,PH,75.81,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
64,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
70,Meulaboh,ID,76.62,overcast clouds,4.1363,96.1285,Kost Pria
76,Shingu,JP,77.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
77,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
82,San Rafael,AR,75.33,clear sky,-34.6177,-68.3301,Hotel San Rafael
103,Semporna,MY,79.59,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
104,Luzhou,CN,75.97,light rain,28.8724,105.4405,Shijichun Hotel
105,Algiers,DZ,78.62,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
112,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
113,Torbay,CA,78.89,broken clouds,47.6666,-52.7314,Gallows Cove
114,Tura,IN,75.99,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
115,Mogadishu,SO,76.5,overcast clouds,2.0371,45.3438,Hotel Juba
130,Mouila,GA,76.98,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
138,Zhezkazgan,KZ,78.91,broken clouds,47.8043,67.7144,Hotel Zumrat
140,Behshahr,IR,78.75,overcast clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
142,Yamada,JP,75.78,clear sky,39.4667,141.95,Iroha-ya Inn
146,Monywa,MM,78.24,overcast clouds,22.1167,95.1333,Monywa Hotel
151,Bengkulu,ID,75.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
177,Hasaki,JP,77.4,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
179,Teluknaga,ID,77.0,haze,-6.0989,106.6381,Bale Ocasa hotel
182,Hambantota,LK,78.91,overcast clouds,6.1241,81.1185,Bungalow 63
183,Wilmington Island,US,78.89,light rain,32.0036,-80.9737,Breezeway Studio Manor LLC
185,Puerto Del Rosario,ES,76.75,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
190,Buala,SB,78.6,light rain,-8.145,159.5921,Maringe Lagoon Lodge
202,Kinablangan,PH,78.31,moderate rain,7.6947,126.5503,Danny Moreno Property
205,Saqqez,IR,78.73,overcast clouds,36.2499,46.2735,Saqqez Hotel
208,Sungairaya,ID,77.13,overcast clouds,0.7,108.9,Mess P.Milu
220,Ivankiv,UA,75.6,broken clouds,50.9386,29.8943,Ekohospresurs
227,Sibolga,ID,77.32,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
232,Hobyo,SO,76.42,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
234,Gudari,IN,77.95,overcast clouds,19.35,83.7833,Hotel maa majhigouri
237,Sola,VU,77.83,scattered clouds,-13.8833,167.55,Leumerus Bungalows
240,Bandarbeyla,SO,76.64,broken clouds,9.4942,50.8122,JABIR HOTEL
241,Toribio,CO,78.26,scattered clouds,2.9548,-76.2684,Casa de Huespedes Toribio
248,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
